ts,equity
2026-01-05T13:15:00+00:00,7999999.04
2026-01-05T13:20:00+00:00,7999999.04
2026-01-05T13:25:00+00:00,7999999.04
2026-01-05T13:30:00+00:00,7999999.04
2026-01-05T13:35:00+00:00,7999999.04
2026-01-05T13:40:00+00:00,7999999.04
2026-01-05T13:45:00+00:00,7999999.04
2026-01-05T13:50:00+00:00,7999999.04
2026-01-05T13:55:00+00:00,7999999.04
2026-01-05T14:00:00+00:00,7999999.04
2026-01-05T14:05:00+00:00,7999998.87
2026-01-05T14:10:00+00:00,7999998.62
2026-01-05T14:15:00+00:00,7999998.48
2026-01-05T14:20:00+00:00,7999998.64
2026-01-05T14:25:00+00:00,7999998.66
2026-01-05T14:30:00+00:00,7999998.66
2026-01-05T14:35:00+00:00,7999998.66
2026-01-05T14:40:00+00:00,7999998.66
2026-01-05T14:45:00+00:00,7999998.66
2026-01-05T14:50:00+00:00,7999998.66
2026-01-05T14:55:00+00:00,7999998.66
2026-01-05T15:00:00+00:00,7999998.66
2026-01-05T15:05:00+00:00,7999998.66
2026-01-05T15:10:00+00:00,7999998.66
2026-01-05T15:15:00+00:00,7999998.66
2026-01-05T15:20:00+00:00,7999998.66
2026-01-05T15:25:00+00:00,7999998.66
2026-01-05T15:30:00+00:00,7999998.66
2026-01-05T15:35:00+00:00,7999998.66
2026-01-05T15:40:00+00:00,7999998.66
2026-01-05T15:45:00+00:00,7999998.66
2026-01-05T16:05:00+00:00,7999998.66
2026-01-05T16:10:00+00:00,7999998.66
2026-01-05T16:15:00+00:00,7999998.66
2026-01-05T16:20:00+00:00,7999998.66
2026-01-05T16:25:00+00:00,7999998.66
2026-01-05T16:30:00+00:00,7999998.66
2026-01-05T16:35:00+00:00,7999998.66
2026-01-05T16:40:00+00:00,7999998.66
2026-01-05T16:45:00+00:00,7999998.66
2026-01-05T16:50:00+00:00,7999998.66
2026-01-05T16:55:00+00:00,7999998.66
2026-01-05T17:00:00+00:00,7999998.66
2026-01-05T17:05:00+00:00,7999998.66
2026-01-05T17:10:00+00:00,7999998.66
2026-01-05T17:15:00+00:00,7999998.66
2026-01-05T17:20:00+00:00,7999998.66
2026-01-05T17:25:00+00:00,7999998.66
2026-01-05T17:30:00+00:00,7999998.66
2026-01-05T17:35:00+00:00,7999998.66
2026-01-05T17:40:00+00:00,7999998.66
2026-01-05T17:45:00+00:00,7999998.66
2026-01-05T17:50:00+00:00,7999998.66
2026-01-05T17:55:00+00:00,7999998.66
2026-01-05T18:00:00+00:00,7999998.66
2026-01-05T18:05:00+00:00,7999998.66
2026-01-05T18:10:00+00:00,7999998.66
2026-01-05T18:15:00+00:00,7999998.66
2026-01-05T18:20:00+00:00,7999998.66
2026-01-05T18:25:00+00:00,7999998.66
2026-01-05T18:30:00+00:00,7999998.66
2026-01-05T18:35:00+00:00,7999998.66
2026-01-05T18:40:00+00:00,7999998.66
2026-01-05T18:45:00+00:00,7999998.66
2026-01-05T18:50:00+00:00,7999998.66
2026-01-05T18:55:00+00:00,7999998.66
2026-01-05T19:00:00+00:00,7999998.66
2026-01-05T19:05:00+00:00,7999998.66
2026-01-05T19:10:00+00:00,7999998.66
2026-01-05T19:15:00+00:00,7999998.66
2026-01-05T19:20:00+00:00,7999998.66
2026-01-05T19:25:00+00:00,7999998.66
2026-01-05T19:30:00+00:00,7999998.66
2026-01-05T19:35:00+00:00,7999998.66
2026-01-05T19:40:00+00:00,7999998.66
2026-01-05T19:45:00+00:00,7999998.66
2026-01-05T19:50:00+00:00,7999998.66
2026-01-05T19:55:00+00:00,7999998.66
2026-01-05T20:00:00+00:00,7999998.66
2026-01-05T20:05:00+00:00,7999998.66
2026-01-05T20:10:00+00:00,7999998.66
2026-01-05T20:15:00+00:00,7999998.66
2026-01-05T20:20:00+00:00,7999998.66
2026-01-05T20:25:00+00:00,7999998.66
2026-01-05T20:30:00+00:00,7999998.66
2026-01-05T20:35:00+00:00,7999998.66
2026-01-05T20:40:00+00:00,7999998.66
2026-01-05T20:45:00+00:00,7999998.66
2026-01-06T05:55:00+00:00,7999998.66
2026-01-06T06:00:00+00:00,7999998.66
2026-01-06T06:05:00+00:00,7999998.66
2026-01-06T06:10:00+00:00,7999998.66
2026-01-06T06:15:00+00:00,7999998.66
2026-01-06T06:20:00+00:00,7999998.66
2026-01-06T06:25:00+00:00,7999998.66
2026-01-06T06:30:00+00:00,7999998.66
2026-01-06T06:35:00+00:00,7999998.66
2026-01-06T06:40:00+00:00,7999998.66
2026-01-06T06:45:00+00:00,7999998.66
2026-01-06T06:50:00+00:00,7999998.66
2026-01-06T06:55:00+00:00,7999998.66
2026-01-06T07:00:00+00:00,7999998.66
2026-01-06T07:05:00+00:00,7999998.66
2026-01-06T07:10:00+00:00,7999998.66
2026-01-06T07:15:00+00:00,7999998.66
2026-01-06T07:20:00+00:00,7999998.66
2026-01-06T07:25:00+00:00,7999998.66
2026-01-06T07:30:00+00:00,7999998.66
2026-01-06T07:35:00+00:00,7999998.66
2026-01-06T07:40:00+00:00,7999998.66
2026-01-06T07:45:00+00:00,7999998.66
2026-01-06T07:50:00+00:00,7999998.66
2026-01-06T07:55:00+00:00,7999998.66
2026-01-06T08:00:00+00:00,7999998.76
2026-01-06T08:05:00+00:00,7999998.75
2026-01-06T08:10:00+00:00,7999998.77
2026-01-06T08:15:00+00:00,7999998.98
2026-01-06T08:20:00+00:00,7999999.02
2026-01-06T08:25:00+00:00,7999999.02
2026-01-06T08:30:00+00:00,7999999.02
2026-01-06T08:35:00+00:00,7999999.02
2026-01-06T08:40:00+00:00,7999999.02
2026-01-06T08:45:00+00:00,7999999.02
2026-01-06T08:50:00+00:00,7999999.02
2026-01-06T08:55:00+00:00,7999999.02
2026-01-06T09:00:00+00:00,7999999.02
2026-01-06T09:05:00+00:00,7999999.02
2026-01-06T09:10:00+00:00,7999999.02
2026-01-06T09:15:00+00:00,7999999.02
2026-01-06T09:20:00+00:00,7999999.02
2026-01-06T09:25:00+00:00,7999999.02
2026-01-06T09:30:00+00:00,7999999.02
2026-01-06T09:35:00+00:00,7999999.02
2026-01-06T09:40:00+00:00,7999999.02
2026-01-06T09:45:00+00:00,7999999.02
2026-01-06T09:50:00+00:00,7999999.02
2026-01-06T09:55:00+00:00,7999999.02
2026-01-06T10:00:00+00:00,7999999.02
2026-01-06T10:05:00+00:00,7999999.02
2026-01-06T10:10:00+00:00,7999999.02
2026-01-06T10:15:00+00:00,7999999.02
2026-01-06T10:20:00+00:00,7999999.02
2026-01-06T10:25:00+00:00,7999999.02
2026-01-06T10:30:00+00:00,7999999.02
2026-01-06T10:35:00+00:00,7999999.02
2026-01-06T10:40:00+00:00,7999999.02
2026-01-06T10:45:00+00:00,7999999.02
2026-01-06T10:50:00+00:00,7999999.02
2026-01-06T10:55:00+00:00,7999999.02
2026-01-06T11:05:00+00:00,7999999.02
2026-01-06T11:10:00+00:00,7999999.02
2026-01-06T11:15:00+00:00,7999999.02
2026-01-06T11:20:00+00:00,7999999.02
2026-01-06T11:25:00+00:00,7999999.02
2026-01-06T11:30:00+00:00,7999999.02
2026-01-06T11:35:00+00:00,7999999.14
2026-01-06T11:40:00+00:00,7999999.00
2026-01-06T11:45:00+00:00,7999999.09
2026-01-06T11:50:00+00:00,7999999.04
2026-01-06T11:55:00+00:00,7999999.07
2026-01-06T12:00:00+00:00,7999998.98
2026-01-06T12:05:00+00:00,7999998.90
2026-01-06T12:10:00+00:00,7999998.90
2026-01-06T12:15:00+00:00,7999999.04
2026-01-06T12:20:00+00:00,7999998.92
2026-01-06T12:25:00+00:00,7999998.91
2026-01-06T12:30:00+00:00,7999999.01
2026-01-06T12:35:00+00:00,7999999.01
2026-01-06T12:40:00+00:00,7999999.01
2026-01-06T12:45:00+00:00,7999999.01
